ST	Oxf_gltA	Oxf_gyrB	Oxf_gdhB	Oxf_recA	Oxf_cpn60	Oxf_gpi	Oxf_rpoD	clonal_complex	species
815	21	53	2	28	1	172	45		
816	21	15	2	28	1	104	4		
817	1	31	12	11	4	109	3		
818	34	47	68	41	32	78	4		
819	21	15	2	28	1	107	4		
820	21	15	2	28	1	103	4		
821	18	15	2	28	1	107	26		
822	1	3	3	12	2	101	3		
823	1	3	6	1	4	97	6		
824	1	90	3	2	2	7	3		
825	40	3	83	6	4	76	3		
826	1	72	12	11	4	10	3		
827	1	3	3	11	45	11	3		
828	1	3	3	11	12	72	3		
829	1	3	3	2	2	154	3		
830	21	12	140	1	4	16	4		
831	21	35	2	12	1	72	4		
832	1	78	3	11	1	72	7		
833	1	3	2	11	2	72	7		
834	1	12	42	28	11	72	4		
835	21	12	140	1	4	154	4		
836	18	48	58	42	4	54	26		
837	1	3	3	2	4	7	3		
838	1	3	3	2	2	185	3		
839	18	48	58	2	2	54	26		
840	1	3	3	43	46	16	3		
841	1	3	3	2	4	11	3		
842	1	47	67	28	45	55	6		
843	1	3	3	28	2	7	3		
844	1	12	3	2	2	106	3		
845	21	35	2	28	1	172	45		
846	4	31	12	11	4	109	3		
847	28	38	45	1	30	66	2		
848	1	15	3	2	2	142	3		
849	64	53	4	11	4	142	5		
850	1	3	3	2	4	103	3		
851	1	3	3	2	2	97	2		
852	33	12	40	26	32	157	5		
853	21	35	2	28	1	209	4		
854	25	112	136	20	25	97	55		
855	35	12	64	37	22	208	30		
856	21	12	2	28	1	140	4		
857	21	35	2	28	1	210	4		
858	1	12	3	2	2	140	3		
859	1	15	3	2	2	58	3		
860	37	53	67	6	42	200	7		
861	1	10	8	6	1	142	14		
862	31	33	67	40	1	142	7		
863	1	3	3	2	2	95	3		
864	1	17	3	2	2	100	3		
865	31	17	67	40	1	142	7		
866	1	102	59	28	4	98	45		
867	1	12	59	28	4	172	45		
868	1	34	80	28	35	98	30		
869	1	35	62	31	4	98	45		
870	36	102	62	31	22	98	4		
871	36	57	62	31	22	103	4		
872	1	3	3	2	2	144	3		
873	18	87	2	28	1	157	71		
874	1	52	56	1	4	140	45		
875	1	3	3	2	2	97	18		
876	20	3	3	2	2	97	3		
877	21	12	2	28	1	107	4		
878	28	38	45	1	16	110	2		
879	26	36	43	20	25	109	28		
880	1	12	56	1	1	142	26		
881	1	54	59	28	4	162	45		
882	1	12	4	11	4	109	3		
883	1	12	56	1	1	173	26		
884	18	87	2	28	1	83	71		
885	24	111	96	71	2	16	3		
886	1	31	12	2	1	206	3		
887	21	111	2	2	35	16	4		
888	1	34	12	2	1	205	45		
889	1	110	2	11	48	149	6		
890	1	12	56	1	1	149	45		
891	1	3	3	2	2	207	3		
892	1	3	3	72	63	7	3		
893	36	31	59	28	4	103	4		
894	43	54	111	71	64	137	4		
895	1	12	3	2	35	10	3		
896	36	34	62	2	22	16	4		
897	1	2	3	2	2	7	3		
898	1	54	80	28	27	7	30		
899	1	3	3	2	2	7	30		
900	1	62	80	2	27	16	30		
901	1	3	23	2	2	16	3		
902	1	3	3	28	2	96	3		
903	1	1	66	2	2	7	4		
904	1	3	3	6	2	7	3		
905	1	3	3	11	4	7	30		
906	1	3	3	31	2	7	30		
907	1	1	66	12	33	7	6		
908	1	3	3	2	2	7	45		
909	1	3	3	2	2	132	3		
910	1	72	12	11	2	54	3		
911	1	3	3	11	2	54	3		
912	1	3	3	2	33	7	3		
913	1	47	67	28	58	55	6		
914	56	3	3	67	60	10	11		
915	63	3	141	67	60	16	11		
916	1	3	3	2	1	50	3		
917	51	12	49	11	49	145	4		
918	1	54	3	28	62	137	3		
919	31	17	67	40	1	99	7		
920	1	12	4	11	4	79	4		
921	1	17	8	10	28	198	38		
922	1	107	8	10	28	63	32		
923	28	38	45	36	16	66	72		
924	1	17	8	10	28	198	32		
925	28	57	45	36	16	66	2		
926	31	42	135	64	30	162	44		
927	1	83	3	2	46	79	3		
928	1	1	1	1	1	156	6		
929	1	1	12	32	1	98	6		
930	1	3	6	1	4	102	6		
931	1	10	8	6	1	110	14		
932	1	12	65	45	4	198	26		
933	1	15	4	11	4	200	4		
934	1	17	8	10	28	94	32		
935	1	17	8	10	28	142	32		
936	1	34	40	26	1	172	5		
937	1	35	65	45	4	177	26		
938	1	38	3	2	2	110	3		
939	1	43	3	2	2	94	3		
940	1	43	50	31	1	94	26		
941	1	46	59	11	4	79	17		
942	1	64	109	1	23	106	26		
943	2	2	2	1	1	195	7		
944	2	21	12	32	26	198	5		
945	10	12	4	11	4	79	5		
946	10	12	4	11	4	200	5		
947	10	53	74	11	4	200	5		
948	11	27	14	21	37	113	15		
949	12	17	3	2	29	99	39		
950	12	107	12	1	29	102	39		
951	15	48	58	42	36	140	41		
952	18	12	80	12	1	94	4		
953	21	12	2	28	1	104	4		
954	21	15	1	28	1	132	4		
955	21	15	2	28	1	157	4		
956	23	35	3	27	23	144	7		
957	28	38	45	1	16	16	2		
958	39	65	142	30	25	114	28		
959	1	12	56	1	1	61	3		
960	24	92	96	11	26	162	26		
961	1	17	96	2	2	99	3		
962	1	15	8	10	26	99	32		
963	31	21	26	11	1	211	76		
964	1	46	32	74	1	142	14		
965	35	1	46	6	1	212	4		
966	2	3	51	74	36	195	77		
967	2	115	51	74	36	195	77		
968	66	116	96	54	65	79	78		
969	1	46	96	54	4	213	59		
970	1	46	96	75	4	79	59		
971	67	46	96	54	4	79	59		
972	21	19	135	39	1	214	79		
973	1	90	139	10	1	79	80		
974	1	17	3	76	2	99	81		
975	1	117	3	2	2	142	3		
976	68	17	3	2	2	215	3		
977	1	17	3	2	2	99	82		
978	1	17	3	77	2	99	3		
979	1	17	3	2	2	99	83		
980	1	17	3	78	2	99	3		
981	1	17	3	2	2	216	3		
982	1	17	52	2	2	99	3		
983	1	118	3	2	2	99	3		
984	1	17	3	2	2	217	3		
985	1	119	3	2	2	99	3		
986	1	17	3	2	2	218	3		
987	1	17	3	79	2	99	3		
988	69	17	3	2	66	142	84		
989	1	17	3	80	2	142	3		
990	70	17	3	2	2	99	3		
991	1	120	3	62	2	142	3		
992	1	12	60	28	1	148	32		
993	1	15	2	28	1	219	32		
994	33	12	40	26	1	220	5		
995	1	34	40	26	1	221	5		
996	1	34	40	26	22	222	5		
997	21	12	40	26	22	223	5		
998	21	12	40	81	22	160	5		
999	15	48	61	26	1	103	85		
1000	34	52	29	28	67	114	4		
1001	1	81	11	48	18	224	43		
1002	2	38	42	1	4	225	41		
1003	28	38	45	1	16	110	86		
1004	1	48	8	11	68	142	53		
1005	1	121	2	82	1	226	6		
1006	71	52	59	12	1	227	4		
1007	21	35	69	10	69	140	4		
1008	3	122	3	2	16	228	6		
1009	1	35	80	12	70	140	4		
1010	2	123	42	10	1	140	5		
1011	2	64	139	83	1	140	5		
1012	1	17	83	6	4	211	87		
1013	1	1	70	6	4	229	4		
1014	18	34	59	11	60	144	30		
1015	1	46	62	86	4	110	45		
1016	1	34	12	6	1	232	45		
1017	25	27	14	21	15	233	28		
1018	11	125	14	21	37	233	15		
1019	25	27	14	21	15	234	28		
1020	72	27	72	20	27	113	29		
1021	73	1	12	32	1	98	6		
1022	1	1	12	32	1	235	6		
1023	1	126	3	2	2	97	3		
1024	1	3	3	2	2	236	3		
1025	51	127	59	10	16	103	4		
1026	21	108	77	46	23	103	26		
1027	1	98	81	6	1	157	4		
1028	1	15	65	45	4	237	26		
1029	27	65	97	55	25	238	60		
1030	56	100	137	7	51	239	74		
1031	62	129	84	67	52	240	88		
1032	75	100	85	87	72	241	89		
1033	76	65	86	21	73	113	90		
1034	77	104	87	67	55	242	75		
1035	11	134	128	30	15	114	60		
1036	11	75	14	21	37	246	15		
1037	56	104	137	7	51	247	74		
1038	59	104	137	87	77	239	91		
1039	49	135	98	90	78	248	92		
1040	78	130	88	3	74	243	93		
1041	79	131	89	3	75	244	94		
1042	80	132	91	88	75	244	95		
1043	81	133	95	89	76	245	96		
1044	82	136	101	91	79	249	97		
1045	83	137	108	91	80	250	98		
1046	1	15	8	10	28	16	32		
1047	33	90	67	10	1	231	6		
1048	1	15	80	85	28	163	41		
1049	1	3	147	2	2	102	3		
1050	1	3	3	2	2	219	3		
1051	1	12	13	12	4	219	2		
1052	1	12	3	2	2	219	3		
1053	31	33	67	40	1	219	7		
1054	1	17	8	10	28	259	32		
1055	85	17	3	94	2	99	3		
1056	21	12	140	1	4	54	4		
1057	1	138	72	20	27	251	29		
1058	1	52	67	28	1	171	6		
1059	11	139	14	21	37	233	15		
1060	1	3	6	1	4	149	6		
1061	1	141	148	26	1	252	4		
1062	27	65	97	55	25	211	60		
1063	51	12	40	1	48	253	4		
1064	11	29	149	21	37	233	15		
1065	35	15	59	28	35	157	30		
1066	11	65	14	21	37	254	15		
1067	88	100	137	7	51	99	74		
1068	56	100	137	7	51	255	74		
1069	56	100	137	7	51	109	74		
1070	1	17	3	2	2	256	3		
1071	1	17	65	45	4	170	100		
1072	56	100	151	7	51	255	74		
1073	27	65	97	55	25	257	60		
1074	56	104	137	7	51	142	74		
1075	59	27	72	20	27	258	29		
1076	21	12	40	26	22	160	5		
1077	1	62	80	28	35	178	45		
1078	28	38	45	1	16	144	2		
1079	46	12	66	1	16	141	50		
1080	33	98	40	26	1	143	5		
1081	77	104	87	67	55	223	75		
1082	90	143	153	98	83	142	3		
1083	11	27	14	21	37	233	15		
1084	26	70	43	20	25	255	28		
1085	27	36	155	55	25	103	60		
1086	1	15	4	11	4	104	4		
1087	1	12	13	12	4	104	2		
1088	33	12	59	11	32	104	5		
1089	28	38	45	1	16	66	2		
1090	51	12	49	11	48	104	4		
1091	1	17	8	10	28	97	32		
1092	65	17	107	11	1	140	6		
1093	10	12	4	11	4	95	5		
1094	1	12	2	28	1	191	45		
1095	1	149	3	2	2	102	3		
1096	1	35	3	102	59	102	5		
1097	1	15	3	2	2	102	3		
1098	1	54	62	31	4	160	45		
1099	51	12	49	11	48	198	4		
1100	37	38	67	47	1	200	52		
1101	56	104	137	67	55	198	75		
1102	1	17	3	2	2	106	3		
1103	2	21	3	32	26	198	5		
1104	2	21	12	32	26	106	5		
1105	1	35	2	28	16	191	4		
1106	1	34	3	28	1	144	45		
1107	1	33	3	28	1	142	6		
1108	36	35	62	31	22	145	4		
1109	21	12	2	28	1	145	4		
1110	21	35	2	28	1	203	4		
1111	51	12	49	11	48	25	4		
1112	1	46	13	12	89	142	2		
1113	96	150	12	12	1	103	4		
1114	1	12	3	2	2	79	3		
1115	12	17	12	1	29	163	39		
1116	1	38	12	1	57	67	43		
1117	1	3	115	2	2	97	3		
1118	65	15	107	11	1	110	6		Acinetobacter calcoaceticus
1119	56	104	137	67	55	109	75		
1120	56	104	137	7	51	109	74		
1121	56	104	137	7	51	255	74		
1122	56	104	137	7	51	242	74		
1123	56	105	137	67	55	247	75		
1124	77	104	87	67	39	255	75		
1125	1	3	3	2	90	7	3		
1126	1	15	2	2	91	262	32		
1127	51	31	118	11	48	198	4		
1128	1	3	3	2	2	260	3		
1129	1	15	3	31	4	223	106		
1130	1	52	59	103	1	79	6		
1131	60	17	140	1	4	103	107		
1132	60	15	140	1	4	103	107		
1133	1	50	42	28	1	261	6		
1134	1	52	59	12	1	79	44		
1135	18	34	135	6	4	263	50		
1136	1	54	80	28	1	264	45		
1137	33	12	120	10	32	56	5		
1138	33	12	59	11	32	124	5		
1139	1	15	3	2	2	3	3		
1140	1	1	13	2	4	84	2		
1141	1	3	3	104	2	140	3		
1142	1	3	3	102	2	169	3		
1143	1	3	81	102	21	94	3		
1144	1	3	3	102	2	94	3		
1145	1	3	3	102	2	97	3		
1146	1	3	6	2	2	102	3		
1147	1	3	6	2	2	102	39		
1148	28	15	13	12	4	102	2		
1149	1	3	13	1	2	102	3		
1150	10	15	6	12	4	102	2		
1151	10	15	13	12	4	102	2		
1152	10	3	6	2	2	102	3		
1153	10	15	13	12	2	102	2		
1154	46	15	13	12	4	102	2		
1155	46	3	6	2	4	102	3		
1156	46	3	6	2	2	102	3		
1157	46	15	13	12	2	102	2		
1158	22	15	13	12	4	102	2		
1159	1	121	10	2	59	54	3		
1160	1	98	67	28	48	142	6		
1161	28	35	45	1	16	177	2		Acinetobacter baumannii
1162	43	36	93	56	43	238	61		Acinetobacter nosocomialis
1163	97	151	121	87	72	266	88		
1164	1	15	2	28	48	265	32		
1165	1	3	3	2	2	164	3		
1166	1	3	3	2	4	106	2		
1167	1	52	59	12	1	79	6		
1168	1	3	21	11	36	98	43		
1169	31	102	13	32	26	198	7		
1170	56	104	137	67	55	111	75		
1171	1	62	80	28	35	96	45		
1172	1	35	56	1	12	264	26		
1173	1	35	56	1	1	264	26		
1174	21	15	2	28	35	104	4		
1175	33	12	2	28	1	193	4		
1176	1	12	12	11	4	191	3		
1177	56	129	137	7	51	170	74		
1178	56	129	137	7	51	153	74		
1179	56	129	137	7	51	145	74		
1180	1	33	3	10	1	142	6		
1181	33	31	2	28	1	144	5		
1182	1	12	56	1	1	107	26		
1183	27	65	99	55	25	103	60		
1184	1	47	67	28	1	103	6		
1185	27	70	128	30	25	255	29		
1186	30	39	157	52	39	202	56		
1187	1	17	82	39	1	198	7		
1188	1	47	13	11	53	198	4		
1189	33	31	2	23	23	191	5		
1190	31	54	8	6	30	176	6		
1191	91	104	137	7	84	174	88		
1192	18	48	58	42	4	174	26		
1193	1	34	80	28	1	172	45		
1194	1	34	62	31	4	172	45		
1195	21	121	64	11	36	170	5		
1196	1	34	135	6	1	160	45		
1197	1	71	139	11	26	153	26		
1198	1	34	80	28	2	144	45		
1199	1	34	56	1	1	144	26		
1200	33	12	40	26	32	143	5		
1201	31	98	8	6	30	142	6		
1202	33	12	40	26	32	140	5		
1203	1	56	130	10	1	140	4		
1204	1	12	80	35	35	140	45		
1205	11	36	14	2	37	140	15		
1206	91	104	137	7	84	140	88		
1207	56	5	145	7	6	129	10		
1208	1	33	11	48	18	114	43		
1209	34	97	80	41	4	103	4		
1210	21	12	68	41	4	103	4		
1211	1	49	3	12	4	97	3		
1212	56	5	145	7	6	97	10		
1213	59	129	85	87	6	97	11		
1214	62	6	141	67	52	97	10		
1215	21	35	2	28	1	96	4		
1216	1	102	80	28	35	83	30		
1217	1	34	62	31	60	61	30		
1218	1	34	62	31	35	61	30		
1219	1	34	135	11	4	16	45		
1220	1	62	80	28	35	202	45		
1221	1	12	12	11	4	109	3		
1222	1	35	12	11	4	96	3		
1223	10	53	4	64	4	98	5		
1224	10	53	4	6	4	98	5		
1225	1	15	13	60	4	106	2		
1226	1	15	3	43	4	106	2		
1227	1	15	120	28	1	107	32		
1228	1	15	2	28	48	107	32		
1229	21	35	2	28	23	253	4		
1230	1	3	2	2	2	97	3		
1231	1	31	12	6	4	25	3		
1232	1	62	80	28	1	178	30		
1233	25	27	14	65	25	97	62		
1234	18	15	2	28	1	72	71		
1235	31	98	51	11	4	58	6		
1236	1	15	70	28	4	72	45		
1237	1	62	80	28	35	94	30		
1238	1	62	80	28	35	90	30		
1239	1	15	14	12	4	163	2		
1240	1	3	4	2	2	94	3		
1241	1	36	4	2	2	94	3		
1242	1	12	3	21	2	145	3		
1243	1	19	3	2	2	145	3		
1244	1	15	3	2	1	107	3		
1245	1	15	10	43	1	107	3		
1246	1	15	13	43	4	106	2		
1247	1	3	3	2	2	94	21		
1248	1	1	19	60	4	16	2		
1249	1	15	13	60	4	163	2		
1250	1	12	56	36	4	149	45		
1251	1	35	12	6	4	94	3		
1252	21	12	3	28	1	107	4		
1253	1	56	13	48	4	107	6		
1254	1	90	67	60	1	94	4		
1255	1	90	38	6	26	187	5		
1256	1	12	13	33	4	173	2		
1257	1	17	82	39	1	107	7		
1258	1	93	139	6	1	153	6		
1259	1	34	59	28	4	157	6		
1260	2	38	42	36	4	178	41		
1261	18	93	135	6	4	187	50		
1262	21	35	2	28	22	253	4		
1263	21	12	2	28	1	203	5		
1264	21	48	58	42	36	140	4		
1265	21	35	2	28	1	145	3		
1266	23	61	134	26	4	117	4		
1267	24	17	71	60	1	153	52		
1268	33	31	2	28	1	107	5		
1269	33	58	11	36	1	153	40		
1270	35	15	13	12	4	163	2		
1271	36	12	59	28	4	94	4		
1272	37	15	58	42	4	98	41		
1273	49	135	3	90	41	145	92		
1274	29	46	67	6	30	195	4		
1275	1	152	70	28	4	178	45		
1276	18	153	8	105	4	3	2		
1277	1	34	80	28	1	22	3		
1278	1	3	3	28	2	7	45		
1279	51	12	49	13	48	103	4		
1280	1	3	67	6	2	163	5		
1281	1	34	80	28	1	198	45		
1282	1	38	42	6	1	97	108		
1283	1	15	8	10	28	102	32		
1284	1	87	8	10	28	148	32		
1285	1	35	8	10	28	175	32		
1286	1	35	3	2	2	100	3		
1287	1	3	115	2	2	102	3		
1288	1	3	117	2	2	96	3		
1289	1	12	3	2	2	142	3		
1290	24	92	96	11	49	100	26		
1291	1	26	10	1	1	171	50		
1292	1	15	3	1	2	142	3		
1293	1	87	45	2	2	83	3		
1294	1	38	3	2	2	100	3		
1295	1	3	3	2	2	148	3		
1296	1	31	3	2	2	145	3		
1297	28	38	45	2	16	144	2		
1298	1	3	3	6	2	140	3		
1299	1	50	56	1	1	152	45		
1300	33	31	2	26	1	175	5		
1301	22	35	3	33	4	106	5		
1302	2	52	80	6	23	140	4		
1303	33	12	40	26	32	175	5		
1304	1	54	80	28	1	96	45		
1305	1	12	3	2	2	96	3		
1306	31	33	67	40	1	96	7		
1307	22	15	13	12	36	153	2		
1308	31	33	67	40	1	98	7		
1309	27	155	99	55	25	270	60		
1310	21	12	59	11	32	271	4		
1311	1	102	12	6	28	264	40		
1312	1	53	135	12	1	110	110		
1313	1	15	13	12	4	94	2		
1314	21	15	2	28	35	193	111		
1315	1	1	13	12	92	16	2		
1316	1	35	3	2	2	107	3		
1317	1	15	13	12	4	163	112		
1318	21	35	2	28	1	268	4		
1319	1	15	59	28	4	269	45		
1320	1	102	80	85	28	214	113		
1321	1	44	8	10	28	54	32		Acinetobacter baumannii
1322	1	81	11	48	18	272	43		
1323	1	19	2	43	93	140	114		
1324	1	12	56	1	1	237	26		
1325	1	12	56	1	1	110	26		
1326	1	43	3	2	2	94	2		Acinetobacter baumannii
1327	1	62	13	12	4	273	2		
1328	60	17	140	1	4	274	107		
1329	1	1	13	12	94	144	2		
1330	1	156	80	48	18	114	43		
1331	31	47	90	6	95	205	6		
1332	31	33	59	40	16	97	7		
1333	31	33	59	40	16	16	7		
1334	33	12	67	26	32	157	5		
1335	31	1	126	40	1	16	7		
1336	18	87	125	28	1	102	71		
1337	18	87	125	28	1	83	71		
1338	18	87	125	28	1	148	71		
1339	27	154	124	55	25	163	60		
1340	10	12	4	11	4	200	109		
1341	1	17	2	28	1	143	32		
1342	33	47	56	1	32	160	5		
1343	11	65	14	20	37	254	15		
1344	33	12	59	11	32	157	5		
1345	100	17	164	1	1	278	76		
1346	1	38	12	1	57	67	116		
1347	51	12	49	11	48	280	4		
1348	56	100	137	7	51	279	74		
1349	1	35	65	45	4	173	26		
1350	21	35	2	41	1	193	45		
1351	21	15	2	28	1	275	4		
1352	34	12	68	41	32	103	4		
1353	1	3	159	2	2	97	3		
1354	21	15	160	28	1	275	4		
1355	1	78	59	43	1	211	6		
1356	1	12	32	11	1	260	14		
1357	1	15	66	12	33	237	41		
1358	21	12	2	28	22	104	4		
1359	33	12	40	26	32	172	5		
1360	33	93	139	10	1	153	26		
1361	21	15	2	28	35	193	4		
1362	18	35	13	11	4	166	50		
1363	1	17	161	10	29	110	4		
1364	21	15	2	28	1	221	4		
1365	21	12	2	28	35	158	4		
1366	1	157	80	28	1	161	45		
1367	1	33	12	11	96	99	4		
1368	33	15	68	41	97	222	5		
1369	99	43	162	6	1	103	4		
1370	1	47	67	28	1	172	6		
1371	1	12	11	48	18	114	43		
1372	21	15	2	28	1	276	4		
1373	33	12	2	26	32	107	5		
1374	1	34	163	6	1	149	30		
1375	1	17	56	1	1	178	26		
1376	1	47	67	28	35	277	6		
1377	21	35	2	28	1	193	4		
1378	1	12	64	37	4	103	30		
1379	1	45	13	6	4	103	115		
1380	1	38	67	1	4	160	5		
1381	21	12	2	28	35	103	4		
1382	18	158	80	12	1	94	4		
1383	34	12	68	41	97	104	4		
1384	21	35	2	28	35	103	4		
1385	63	151	145	67	72	164	88		
1386	33	31	2	28	1	158	5		
1387	1	15	2	28	1	65	32		
1388	1	15	2	28	1	142	32		
1389	1	3	13	12	4	106	2		
1390	1	3	13	12	4	142	2		
1391	101	100	165	106	98	281	101		
1392	1	87	3	2	2	96	3		
1393	36	12	59	28	4	25	4		
1394	33	31	2	28	22	158	5		
1395	36	31	59	28	4	25	4		
1396	1	34	59	28	4	173	45		
1397	1	1	3	47	1	282	117		
1398	22	61	2	12	4	261	118		
1399	1	15	2	28	1	263	32		
1400	1	3	3	104	2	94	3		
1401	1	81	3	2	46	16	3		
1402	1	34	80	28	1	16	30		
1403	49	3	3	19	28	96	69		
1404	1	64	3	1	23	106	26		
1405	1	34	80	28	1	106	45		
1406	1	3	3	2	4	106	3		
1407	10	90	37	6	2	106	5		
1408	1	3	3	2	46	140	3		
1409	10	12	37	6	4	140	5		
1410	10	12	37	6	2	140	5		
1411	1	81	3	2	2	140	3		
1412	10	3	37	6	4	140	5		
1413	10	12	37	2	4	140	5		
1414	1	3	37	67	2	140	3		
1415	1	52	29	28	18	103	7		
1416	1	12	56	1	1	177	26		
1417	1	3	3	102	2	96	3		
1418	21	48	58	42	36	114	4		
1419	56	104	137	7	25	153	74		
1420	56	104	137	7	51	153	74		
1421	1	3	3	2	2	96	119		
1422	1	38	166	6	23	232	26		Acinetobacter baumannii
1423	1	159	3	2	2	142	3		
1424	91	160	167	7	99	153	120		
1425	56	104	168	67	52	153	75		
1426	1	15	13	12	4	163	5		
1427	102	161	169	87	100	153	121		
1428	3	3	3	102	2	154	3		
1429	3	3	3	2	2	154	3		
1430	1	102	59	28	1	193	45		
1431	1	54	80	28	1	193	45		
1432	1	162	67	49	4	140	6		
1433	1	122	140	2	4	214	5		
1434	103	38	170	107	1	66	72		
1435	1	163	171	49	4	140	6		
1436	1	93	42	1	1	284	123		
1437	1	76	106	46	1	285	5		
1438	18	1	172	42	1	79	4		
1439	1	121	173	12	1	286	6		
1440	1	17	8	37	4	66	5		
1441	22	90	176	1	4	99	26		
1442	1	56	13	44	101	107	6		
1443	1	35	140	12	103	287	4		
1444	1	56	13	44	101	157	6		
1445	1	3	174	11	36	98	50		
1446	2	50	175	6	1	53	5		
1447	1	107	166	6	4	102	26		
1448	35	150	134	48	1	170	124		
1449	1	17	8	37	4	142	26		
1450	1	56	106	6	36	290	114		
1451	37	15	58	42	4	54	41		
1452	1	107	166	6	23	258	26		
1453	1	47	67	28	1	142	6		
1454	1	98	67	28	1	102	6		
1455	1	12	40	26	32	253	6		
1456	1	17	41	6	23	132	26		
1457	22	38	2	12	4	261	118		
1458	15	46	67	6	4	195	122		
1459	1	107	166	6	23	102	26		
1460	62	164	138	7	52	239	75		
1461	104	165	177	109	102	288	125		
1462	21	15	2	28	1	157	116		
1463	1	12	2	28	1	158	4		
1464	1	10	8	6	1	201	14		
1465	1	1	42	28	1	278	6		
1466	31	121	2	82	1	211	7		
1467	1	1	12	1	57	67	116		
1468	1	121	135	82	1	98	6		
1469	21	15	2	28	104	275	4		
1470	11	65	14	21	37	158	15		
1471	91	165	145	72	39	266	89		Acinetobacter pittii
1472	1	3	3	7	2	97	3		
1473	1	3	3	28	2	97	3		
1474	1	3	3	62	2	97	3		
1475	1	15	13	12	4	58	2		A. baumannii
1476	28	57	65	36	4	291	2		A. baumannii
1477	51	12	49	11	48	109	4		A. baumannii
1478	1	34	67	31	4	160	45		A. baumannii
1479	33	31	2	28	1	145	5		A. baumannii
1480	21	31	113	11	1	106	3		A. baumannii
1481	33	15	2	28	1	158	5		A. baumannii
1482	21	35	2	28	1	175	4		A. baumannii
1483	2	12	73	59	1	98	47		A. baumannii
1484	1	47	67	28	35	221	6		A. baumannii
1485	1	47	67	28	35	94	6		A. baumannii
1486	1	3	3	2	2	221	3		A. baumannii
1487	51	12	137	11	48	96	4		A. baumannii
1488	1	35	139	110	1	141	7		
1489	1	15	2	28	1	283	32		A. baumannii
1490	1	47	42	11	35	110	7		A. baumannii
1491	1	1	66	12	33	177	41		A. baumannii
1492	1	35	13	12	35	94	3		A. baumannii
1493	1	17	82	39	1	145	7		A. baumannii
1494	1	34	80	28	35	172	45		A. baumannii
1495	36	102	80	31	22	178	4		A. baumannii
1496	33	31	2	28	1	143	5		A. baumannii
1497	11	27	14	21	37	94	15		A. baumannii
1498	2	34	12	32	60	148	5		A. baumannii
1499	21	15	3	2	35	294	4		A. baumannii
1500	31	33	67	40	1	269	7		A. baumannii
1501	1	3	3	2	1	142	3		A. baumannii
1502	1	3	3	2	2	142	4		A. baumannii
1503	10	53	4	11	4	142	5		A. baumannii
1504	10	53	4	11	4	79	5		A. baumannii
1505	31	33	67	40	6	95	7		A. baumannii
1506	31	33	67	40	1	95	7		A. baumannii
1507	1	15	4	11	4	98	4		A. baumannii
1508	31	45	8	6	30	157	6		A.  baumannii
1509	1	3	3	2	2	293	3		A.  baumannii
1510	1	12	56	1	1	140	26		A.  baumannii
1511	1	48	3	2	2	142	3		A.  baumannii
1512	10	12	4	11	4	296	5		A.  baumannii
1513	1	3	143	2	2	140	3		A.  baumannii
1514	12	3	3	2	4	140	5		A.  baumannii
1515	12	17	12	1	29	191	39		A. baumannii
1516	1	3	3	43	1	102	3		A. baumannii
1517	1	12	3	28	22	157	1		A. baumannii
1518	1	15	2	28	1	299	32		A. baumannii
1519	1	15	2	28	1	195	32		A. baumannii
1520	1	167	8	10	28	298	32		A. baumannii
1521	1	15	2	43	1	102	32		A. baumannii
1522	1	15	21	28	1	102	32		A. baumannii
1523	2	47	40	60	1	102	5		A. baumannii
1524	1	17	8	10	28	140	32		A. baumannii
1525	1	57	12	6	1	193	45		A. baumannii
1526	1	34	62	31	4	103	45		A. baumannii
1527	77	164	179	109	106	300	88		A. pittii
1528	1	168	2	28	1	163	32		A. baumannii
1529	1	15	2	28	1	301	32		A. baumannii
1530	49	68	178	112	105	297	128		A.seifertii
1531	21	35	2	28	107	25	4		A. baumannii
1532	21	35	2	28	107	302	4		A. baumannii
1533	1	53	3	11	1	153	127		A. baumannii
1534	60	166	12	12	23	295	6		A. baumannii
1535	1	35	2	28	1	157	4		A. baumannii
1536	51	31	49	11	1	16	4		A. baumannii
1537	1	34	56	1	4	176	45		A. baumannii
1538	21	35	2	28	107	191	4		A. baumannii
1539	1	10	8	6	1	198	14		A. baumannii
1540	35	50	42	49	1	152	5		A. baumannii
1541	1	12	161	1	1	173	16		A. baumannii
1542	1	3	59	15	4	172	45		A. baumannii
1543	1	15	66	15	4	99	45		A. baumannii
1544	1	25	56	1	1	152	16		A. baumannii
1545	1	15	13	12	4	106	16		A. baumannii
1546	1	1	66	12	33	144	21		A. baumannii
1547	1	23	12	11	4	173	3		A. baumannii
1548	1	1	66	12	33	178	21		A. baumannii
1549	2	21	12	32	26	200	5		A. baumannii
1550	2	21	12	111	26	198	5		A. baumannii
1551	1	17	8	10	28	137	32		A. baumannii
1552	44	73	4	11	44	304	4		A. baumannii
1553	1	90	12	11	4	16	3		A. baumannii
1554	1	34	56	1	1	16	45		A. baumannii
1555	1	21	2	82	1	211	6		A. baumannii
1556	1	21	135	11	108	303	6		A. baumannii
1557	31	33	67	40	16	142	7		Acinetobacter baumannii
1558	105	12	59	113	35	200	5		Acinetobacter baumannii
1559	49	171	180	114	109	305	129		Acinetobacter seifertii
1560	1	169	11	48	18	16	43		Acinetobacter baumannii
1561	1	170	12	6	28	50	32		Acinetobacter baumannii
1562	18	12	135	6	4	140	50		Acinetobacter baumannii
