ST	dinB	icdA	pabB	polB	putP	trpA	trpB	uidA
775	8	2	7	3	7	1	4	170
776	17	8	169	71	66	12	13	32
777	10	2	168	3	7	1	4	4
778	87	3	4	68	63	57	4	169
779	8	2	7	3	7	193	4	2
780	8	2	167	3	7	1	4	2
781	8	2	166	177	60	1	4	2
782	8	2	165	3	184	1	4	2
783	57	2	164	3	60	1	4	23
784	6	5	163	176	6	7	2	168
785	1	274	2	59	2	195	163	60
786	2	23	2	31	2	70	3	175
787	1	74	2	59	188	18	1	60
788	110	23	125	59	2	20	1	1
789	1	275	73	30	43	18	46	1
790	130	23	172	55	43	18	46	1
791	2	136	73	82	127	18	46	1
792	130	23	73	55	43	18	46	1
793	1	279	73	55	189	18	46	1
794	2	23	73	181	43	102	167	1
795	1	134	10	181	43	102	165	1
796	4	276	10	5	2	4	1	6
797	73	255	102	95	2	72	1	74
798	102	1	6	4	2	6	1	1
799	1	23	97	82	2	98	166	60
800	1	274	2	59	2	197	1	60
801	51	277	55	180	21	32	1	31
802	51	13	55	180	21	32	1	31
803	4	48	173	182	181	2	168	1
804	1	275	11	31	2	143	169	60
805	2	138	102	55	2	196	164	8
806	16	1	174	112	2	9	170	75
807	2	18	103	1	181	198	171	8
808	35	278	6	180	132	98	102	8
809	10	3	4	83	41	1	4	2
810	1	73	2	55	43	18	46	157
811	137	15	102	31	2	143	172	176
812	51	280	55	4	21	2	3	6
813	88	17	175	183	4	199	173	27
814	9	20	15	7	4	203	6	9
815	12	271	24	19	13	24	8	3
816	17	8	112	71	66	12	13	32
817	10	2	3	3	7	1	4	4
818	57	2	7	3	60	1	4	23
819	8	269	7	3	7	1	4	2
820	4	13	1	6	2	2	137	1
821	2	18	72	31	43	20	37	7
822	68	110	88	63	93	84	86	83
823	76	2	7	3	7	1	4	2
824	10	91	3	3	18	1	4	23
825	4	136	72	82	2	4	1	6
826	66	39	11	35	9	67	1	43
827	8	2	7	52	60	1	4	2
828	25	3	4	68	5	1	16	169
829	31	195	11	35	27	67	26	125
830	8	2	7	177	60	1	4	2
831	87	3	4	26	5	57	4	103
832	8	2	7	3	192	1	180	2
833	8	2	7	3	186	1	98	2
834	10	282	178	184	41	206	180	177
835	8	2	7	52	7	1	4	2
836	86	2	7	3	172	1	4	23
837	8	265	7	3	7	1	4	2
838	55	20	2	4	47	2	1	8
839	17	133	101	94	8	103	107	3
840	35	67	41	49	28	201	174	17
841	35	58	67	39	28	110	108	35
842	5	91	4	52	16	7	4	169
843	10	2	7	17	7	1	4	2
844	97	152	98	185	193	126	181	178
845	5	37	4	10	78	8	2	2
846	82	91	4	10	74	53	2	103
847	82	3	3	186	194	7	2	2
848	141	283	179	45	33	43	36	179
849	25	3	4	4	3	164	16	169
850	25	3	4	68	5	1	4	2
851	5	3	48	52	16	7	4	65
852	93	227	140	116	138	151	120	117
853	25	65	3	10	16	8	2	2
854	46	47	3	10	159	178	157	181
855	60	3	3	68	78	137	4	182
856	142	284	67	187	38	101	43	180
857	10	2	7	3	60	1	180	2
858	10	28	7	18	18	1	4	2
859	9	4	74	134	4	72	1	9
860	50	47	4	52	5	8	2	90
861	83	28	7	99	18	1	4	2
862	10	87	3	3	16	1	4	2
863	32	71	3	26	16	53	2	50
864	136	285	38	22	28	101	43	42
865	10	3	3	83	41	1	4	2
866	84	37	3	10	74	7	4	183
867	106	142	178	138	158	23	20	40
868	139	11	54	15	195	207	10	54
869	143	286	180	188	196	208	182	184
870	106	142	181	138	158	23	20	40
871	6	5	3	2	6	7	2	61
872	65	84	139	19	12	24	145	80
873	8	2	7	52	152	1	4	2
874	102	23	73	55	43	18	46	1
875	144	287	182	189	23	37	183	185
876	8	2	7	3	197	209	4	2
877	8	2	7	190	7	1	4	2
878	8	2	183	3	7	1	4	2
879	4	288	1	6	2	2	1	1
880	73	17	74	76	121	199	173	186
881	7	33	18	2	5	28	2	187
882	145	19	1	6	2	2	1	1
883	4	20	2	4	47	2	1	188
884	2	289	1	9	2	20	1	6
885	6	83	3	2	6	7	2	4
886	64	204	129	21	175	210	138	11
887	146	8	112	94	66	12	13	3
888	64	10	184	21	30	88	91	11
889	8	2	7	3	198	1	4	2
890	10	148	3	3	18	1	4	2
891	60	290	4	10	26	57	4	55
892	47	47	48	26	74	57	4	5
893	25	3	4	10	78	29	2	5
894	87	3	4	26	5	57	184	103
895	44	291	46	15	2	45	38	54
896	147	74	58	15	2	211	10	189
897	10	292	7	3	7	212	4	2
898	10	3	4	191	41	1	4	190
899	50	293	3	192	6	8	2	55
900	148	3	4	193	25	31	18	191
901	149	3	21	194	26	213	185	40
902	2	4	6	195	1	6	1	1
903	6	294	3	2	6	7	186	4
904	93	295	141	196	199	159	120	192
905	150	296	185	94	66	12	13	193
906	151	41	41	197	200	27	19	194
907	152	297	186	198	23	214	187	185
908	18	8	27	11	8	12	13	11
909	80	190	31	22	123	12	13	3
910	50	3	3	10	5	57	4	5
911	140	5	4	2	6	7	2	4
912	5	298	48	10	5	86	4	50
913	8	2	7	3	7	215	4	2
914	10	239	7	3	60	1	4	2
915	147	74	54	15	2	211	10	189
916	10	11	54	15	195	207	10	54
917	10	3	110	83	41	1	4	2
918	153	41	107	123	6	28	2	57
919	58	156	110	17	18	31	112	2
920	154	42	38	39	38	37	29	48
921	23	9	8	12	9	11	7	195
922	6	5	3	199	6	7	2	4
923	4	15	10	5	2	217	1	6
924	131	257	3	3	16	218	4	158
925	7	65	48	10	16	8	2	2
926	22	11	23	15	10	15	10	12
927	4	299	58	15	10	45	113	12
928	2	11	187	15	10	15	10	12
929	2	11	23	15	10	15	10	196
930	2	11	23	15	10	15	10	197
931	10	300	23	15	10	15	10	12
932	44	301	46	15	2	45	38	1
933	4	11	54	15	2	15	188	1
934	76	142	41	54	14	106	36	40
935	72	41	67	171	45	23	20	38
936	155	302	38	22	28	219	43	42
937	136	302	38	22	28	101	43	42
938	35	52	188	200	19	37	29	17
939	134	268	162	175	183	191	162	198
940	156	303	189	201	201	220	189	42
941	106	142	190	138	158	23	20	40
942	35	304	191	39	28	36	139	42
943	105	42	106	39	38	37	29	199
944	5	2	4	10	7	8	2	2
945	8	2	7	3	7	1	98	2
946	157	10	90	202	30	16	190	200
947	50	225	3	192	6	8	2	55
948	10	298	4	10	16	53	4	113
949	5	225	3	192	6	8	2	55
950	82	65	3	10	74	57	4	50
951	25	174	4	10	78	29	2	5
952	32	170	4	10	26	8	2	5
953	5	47	3	26	78	7	4	50
954	32	47	3	10	5	8	2	90
955	5	47	4	10	26	1	4	77
956	5	3	4	52	16	29	2	2
957	24	31	4	10	16	1	4	2
958	10	118	3	3	18	1	4	23
959	146	8	192	94	66	12	13	11
960	10	2	3	3	18	1	4	23
961	6	311	194	2	6	223	2	4
962	17	312	195	207	8	12	9	3
963	23	9	52	208	9	11	7	13
964	102	276	196	9	2	20	1	6
965	4	13	197	31	21	4	1	6
966	88	313	127	76	4	72	1	9
967	10	28	3	18	18	1	4	205
968	25	91	4	2	6	7	2	206
969	159	314	4	53	203	224	131	164
970	83	28	3	3	18	1	110	156
971	127	249	198	209	204	171	155	207
972	136	315	4	210	74	202	193	50
973	160	29	7	3	7	1	4	2
974	5	3	3	10	78	1	4	208
975	23	26	1	6	2	2	1	4
976	58	156	4	17	16	31	112	40
977	4	5	1	6	2	2	1	1
978	23	9	8	12	9	11	7	2
979	9	1	15	7	4	25	6	9
980	8	2	7	3	7	1	4	13
981	9	1	15	7	4	4	6	9
982	6	2	4	2	6	7	2	1
983	87	47	48	10	16	7	16	65
984	1	262	9	8	2	10	1	7
985	8	26	7	3	7	1	4	2
986	6	5	194	2	6	7	2	4
987	10	28	3	3	18	1	4	2
988	16	1	74	76	75	9	6	74
989	93	180	141	118	138	152	120	117
990	93	229	140	116	205	158	120	117
991	120	316	150	211	167	225	194	148
992	1	74	57	59	2	18	1	60
993	4	124	99	140	206	142	1	210
994	111	255	86	30	2	149	143	209
995	161	317	199	188	196	226	195	211
996	126	248	200	159	172	170	154	212
997	126	248	200	159	172	170	154	154
998	10	2	149	17	18	1	4	40
999	10	28	4	3	18	1	4	2
1000	10	2	3	17	18	1	4	213
1001	69	3	4	52	25	31	18	20
1002	25	207	3	192	6	8	2	55
1003	19	9	25	109	9	22	10	13
1004	50	47	48	10	5	57	4	5
1005	152	189	7	132	162	127	130	77
1006	8	2	7	3	186	1	4	2
1007	25	3	4	146	78	29	2	5
1008	3	8	5	11	161	3	5	3
1009	5	3	4	52	84	1	16	66
1010	156	303	189	210	201	220	189	42
1011	13	148	194	16	12	25	90	19
1012	10	33	18	166	5	28	2	2
1013	10	2	149	17	18	116	16	40
1014	10	2	3	163	18	116	16	22
1015	32	47	4	119	26	8	2	65
1016	2	26	12	1	2	102	1	6
1017	87	123	3	10	74	8	2	2
1018	24	31	4	26	16	29	199	2
1019	97	176	98	123	212	126	115	40
1020	25	37	203	10	74	7	4	183
1021	10	323	110	17	16	1	201	40
1022	8	323	110	17	16	1	201	40
1023	38	318	41	22	38	27	19	42
1024	163	297	186	198	23	230	187	218
1025	156	303	201	210	210	202	189	42
1026	164	322	204	214	38	204	202	219
1027	165	324	51	214	33	41	203	36
1028	152	297	186	198	23	214	187	220
1029	166	325	205	215	135	231	204	221
1030	38	41	206	54	42	55	45	100
1031	156	321	201	210	210	202	198	216
1032	167	326	189	216	213	232	86	222
1033	168	327	207	47	193	41	205	223
1034	35	67	208	39	208	101	206	35
1035	156	320	3	210	208	227	189	215
1036	46	322	202	213	211	229	200	217
1037	46	264	209	214	28	41	193	36
1038	169	328	56	210	28	233	207	45
1039	170	329	51	217	193	50	193	36
1040	35	330	67	39	28	110	108	35
1041	10	297	186	198	23	214	187	218
1042	42	184	189	49	214	48	208	224
1043	172	42	210	39	38	234	209	35
1044	19	331	211	217	215	50	205	225
1045	173	53	39	40	216	235	210	226
1046	106	332	128	138	158	23	20	40
1047	144	333	178	218	28	236	211	227
1048	174	334	66	210	217	237	20	42
1049	175	335	21	219	28	238	212	228
1050	42	336	41	45	38	43	36	40
1051	176	41	21	92	23	23	20	18
1052	22	337	67	220	55	239	43	229
1053	35	42	47	39	218	37	43	46
1054	42	338	178	45	33	43	36	225
1055	156	339	201	210	210	202	189	42
1056	156	318	201	212	207	202	198	42
1057	133	340	178	197	218	59	49	38
1058	156	341	4	210	209	228	197	215
1059	177	342	212	221	219	240	36	230
1060	178	343	213	222	214	241	213	225
1061	179	344	214	39	38	201	174	231
1062	180	345	178	39	220	242	36	232
1063	35	346	38	173	38	39	214	35
1064	133	347	41	223	218	27	19	42
1065	181	41	21	22	19	59	19	17
1066	151	41	41	197	78	27	19	50
1067	22	41	21	3	23	23	20	233
1068	156	319	4	212	201	41	39	42
1069	22	41	21	92	221	23	20	18
1070	162	318	4	210	207	202	196	214
1071	182	41	21	3	23	23	20	18
1072	42	348	178	224	23	99	215	234
1073	183	264	211	214	193	50	205	235
1074	179	346	214	39	38	243	174	231
1075	178	349	213	222	214	241	213	225
1076	184	350	67	225	38	101	43	17
1077	35	346	38	173	38	39	214	236
1078	25	3	4	68	71	1	16	55
1079	11	351	4	3	15	1	4	16
1080	17	312	195	13	8	12	9	3
1081	7	3	48	10	5	8	2	65
1082	17	9	215	12	9	135	9	11
1083	9	1	15	7	222	9	6	9
1084	2	352	1	8	223	244	216	237
1085	60	3	216	26	16	121	116	238
1086	25	91	3	2	224	7	2	4
1087	4	128	103	1	2	6	1	6
1088	66	39	11	35	225	67	26	43
1089	10	87	218	3	16	1	4	2
1090	185	312	195	13	8	245	9	3
1091	1	146	1	1	2	32	27	237
1092	32	47	3	10	5	8	2	50
1093	10	2	7	3	226	1	4	2
1094	25	355	4	10	84	7	4	2
1095	73	99	102	95	4	72	1	74
1096	10	239	7	3	7	1	4	2
1097	131	2	7	3	7	1	4	2
1098	8	2	7	3	7	1	4	239
1099	11	3	4	3	227	1	4	16
1100	8	2	219	3	7	1	4	2
1101	25	356	3	2	16	7	2	160
1102	10	2	7	16	7	1	4	2
1103	9	1	15	7	4	9	6	240
1104	187	1	15	7	4	9	6	9
1105	5	3	48	10	6	8	2	2
1106	82	3	3	2	5	8	2	2
1107	50	354	217	10	5	57	4	5
1108	25	3	48	10	228	57	4	90
1109	188	353	217	10	5	7	4	5
1110	50	353	217	10	5	7	4	5
1111	10	3	4	83	41	246	4	2
1112	10	2	7	3	229	1	4	2
1113	25	47	3	52	16	57	4	2
1114	25	3	3	52	78	29	217	103
1115	10	28	3	3	18	1	4	23
1116	14	26	14	226	2	247	218	1
1117	8	2	221	3	7	1	4	2
1118	50	65	3	10	16	8	2	55
1119	9	20	222	7	4	9	6	9
1120	5	65	3	10	78	8	2	30
1121	25	47	108	56	16	29	2	241
1122	56	357	223	207	231	248	107	242
1123	23	358	52	208	9	11	7	13
1124	50	3	3	227	5	249	4	5
1125	189	1	15	7	4	9	6	9
1126	88	17	175	228	4	199	173	243
1127	7	37	4	10	26	250	4	2
1128	23	9	17	229	9	11	7	13
1129	19	359	159	11	136	13	11	108
1130	7	281	224	12	14	107	9	244
1131	32	47	3	10	5	57	4	50
1132	10	361	225	18	18	251	4	167
1133	8	360	7	3	7	1	4	2
1134	23	9	17	135	9	176	177	13
1135	8	2	3	3	7	1	4	2
1136	56	281	176	11	190	200	175	244
1137	32	3	3	10	78	7	4	5
1138	32	208	4	10	16	7	4	5
1139	10	91	3	3	233	1	4	23
1140	191	2	3	3	166	1	4	2
1141	7	33	18	2	5	8	2	247
1142	10	2	3	17	18	1	4	248
1143	19	364	17	12	234	13	11	249
1144	7	365	18	231	5	28	2	2
1145	8	366	7	3	7	1	4	2
1146	10	2	7	3	7	252	4	2
1147	6	65	3	10	16	8	2	250
1148	7	362	18	2	5	8	2	2
1149	10	29	7	3	7	253	4	2
1150	10	91	3	3	18	254	4	23
1151	7	367	18	2	5	28	2	2
1152	7	368	18	2	5	28	2	2
1153	192	3	4	232	235	7	4	2
1154	139	11	46	233	2	45	38	251
1155	2	138	102	55	2	196	219	8
1156	56	369	176	11	190	200	175	244
1157	139	370	46	233	236	45	38	251
1158	193	2	226	100	16	1	4	2
1159	6	65	3	10	16	8	2	2
1160	7	33	18	231	5	28	2	2
1161	23	9	52	135	9	11	7	13
1162	10	87	7	18	18	1	4	102
1163	50	65	4	10	16	8	2	55
1164	18	68	35	12	10	13	11	97
1165	25	170	4	10	5	7	2	50
1166	1	275	73	55	43	18	46	1
1167	16	8	112	71	66	12	13	32
1168	2	278	6	180	132	98	102	8
1169	137	15	102	31	2	143	142	176
1170	8	2	4	83	7	1	4	252
1171	8	2	7	3	237	1	4	2
1172	194	31	4	26	16	255	2	2
1173	51	371	14	28	2	256	1	253
1174	8	2	7	3	238	1	4	2
1175	87	225	48	10	74	7	220	65
1176	8	2	7	52	7	1	4	255
1177	32	372	3	10	16	7	4	5
1178	26	373	52	12	11	186	175	256
1179	5	374	3	234	6	7	4	2
1180	8	375	7	235	7	1	4	2
1181	83	28	227	3	18	1	110	156
1182	195	363	228	93	239	257	221	257
1183	7	376	18	2	5	28	2	2
1184	5	377	4	142	26	7	2	2
1185	8	2	229	3	7	1	4	2
1186	10	29	7	236	7	1	4	2
1187	19	378	52	237	11	258	222	200
1188	10	29	7	3	240	1	4	2
1189	8	2	7	238	241	1	4	2
1190	19	379	8	239	242	12	223	258
1191	10	2	3	3	243	1	4	2
1192	10	2	226	100	18	259	4	259
1193	18	380	230	12	14	13	176	260
1194	18	381	35	12	10	13	11	97
1195	17	9	231	51	14	13	224	261
1196	10	382	4	83	41	1	4	2
1197	18	383	35	12	10	13	11	97
1198	196	384	52	12	14	260	225	249
1199	44	63	46	15	245	45	38	1
1200	76	386	7	3	60	1	4	263
1201	44	387	46	15	2	45	38	54
1202	1	291	46	15	2	262	10	54
1203	14	23	12	240	2	32	1	8
1204	137	388	11	241	246	34	25	264
1205	24	31	232	26	16	29	199	2
1206	7	33	18	2	5	28	226	2
1207	2	389	73	82	127	18	46	1
1208	197	39	11	242	27	34	37	43
1209	19	373	233	12	10	186	175	265
1210	185	8	234	51	11	136	56	266
1211	146	390	112	94	66	12	13	3
1212	50	47	3	10	5	8	2	267
1213	1	391	73	55	43	18	46	1
1214	25	65	3	10	16	8	227	2
1215	198	23	235	243	2	263	106	157
1216	8	104	7	10	247	1	4	2
1217	199	28	7	3	7	1	4	2
1218	76	2	7	3	60	1	4	2
1219	10	2	7	244	60	1	4	23
1220	10	2	7	3	248	1	4	2
1221	10	2	3	245	41	1	4	23
1222	10	28	3	246	18	1	4	2
1223	10	392	3	247	18	1	4	2
1224	11	393	226	18	249	1	4	40
1225	10	2	3	17	18	264	4	22
1226	10	2	3	17	18	1	80	268
1227	84	37	3	10	74	265	4	183
1228	23	394	8	12	9	11	7	13
1229	200	395	236	248	250	266	228	116
1230	7	396	18	2	5	28	2	2
1231	8	2	4	3	7	1	4	269
1232	201	3	3	10	251	8	2	5
1233	1	74	2	59	20	18	1	60
1234	202	4	6	180	132	102	106	6
1235	73	397	102	76	252	267	170	95
1236	203	398	73	55	43	18	229	1
1237	1	398	73	55	43	18	229	1
1238	4	399	237	249	253	142	1	6
1239	2	400	6	4	1	6	1	1
1240	204	385	52	13	244	261	176	262
1241	10	2	3	3	41	1	4	23
1242	4	4	6	180	132	98	102	8
1243	10	149	7	3	7	118	4	2
1244	4	26	1	6	2	2	1	1
1245	5	75	4	142	26	7	2	2
1246	4	26	11	31	181	98	102	8
1247	50	91	4	10	26	8	2	90
1248	2	138	55	4	2	2	3	6
1249	1	1	2	1	1	2	22	254
1250	4	128	173	182	181	183	102	1
1251	25	223	107	52	74	29	2	57
1252	6	6	3	230	6	7	2	4
1253	6	6	4	2	154	7	2	246
1254	11	196	7	17	232	1	4	245
1255	205	401	16	250	254	268	1	270
1256	2	23	238	251	255	269	230	271
1257	206	291	14	82	1	32	1	272
1258	3	8	5	11	8	3	5	273
1259	207	2	3	3	18	1	4	23
1260	10	2	3	17	18	1	4	274
1261	8	2	7	252	22	1	4	2
1262	1	1	2	1	1	2	231	1
1263	64	402	40	11	161	16	12	109
1264	8	2	7	3	7	1	4	275
1265	8	2	7	3	131	1	232	2
1266	11	3	20	3	256	1	4	16
1267	6	6	4	2	257	7	2	4
1268	7	403	18	2	5	8	2	2
1269	2	404	23	15	10	15	10	12
1270	88	15	127	76	4	72	1	9
1271	1	74	2	59	2	18	1	276
1272	1	1	55	4	181	183	102	56
1273	1	1	239	4	181	183	102	56
1274	51	13	55	4	21	2	3	6
1275	16	4	74	76	75	9	6	74
1276	16	134	175	112	121	180	6	186
1277	16	134	127	76	4	72	1	74
1278	1	48	77	31	2	70	3	31
1279	1	74	37	59	2	143	1	60
1280	2	26	9	8	2	102	1	7
1281	1	136	12	1	2	102	1	6
1282	4	23	6	180	132	98	102	8
1283	4	26	10	4	21	2	3	8
1284	1	23	73	181	43	102	167	1
1285	2	18	72	180	2	20	1	1
1286	4	201	175	76	4	72	1	9
1287	60	140	4	52	84	8	4	96
1288	24	31	4	52	16	29	2	2
1289	25	47	3	10	5	8	2	2
1290	17	2	3	3	7	1	4	4
1291	50	47	3	10	16	8	2	30
1292	32	65	217	10	5	8	2	5
1293	11	28	7	3	18	1	4	23
1294	10	28	3	18	16	1	4	23
1295	10	2	3	216	7	1	4	2
1296	6	3	3	52	78	1	4	2
1297	10	2	3	3	60	1	4	2
1298	10	2	4	3	7	1	4	2
1299	10	2	7	17	18	259	4	259
1300	10	2	226	3	18	1	4	259
1301	10	3	4	3	7	1	4	2
1302	10	28	182	3	18	1	4	2
1303	10	148	3	3	7	1	4	23
1304	10	148	7	3	7	1	4	23
1305	10	177	4	3	7	1	4	2
1306	11	91	30	3	78	1	4	23
1307	11	148	3	3	18	1	4	23
1308	11	196	148	17	18	1	4	2
1309	25	47	4	2	26	53	2	2
1310	25	47	4	10	26	1	4	2
1311	32	123	3	10	5	8	2	50
1312	35	52	38	39	38	36	29	35
1313	47	47	3	52	26	53	2	2
1314	87	3	4	52	16	29	2	2
1315	87	225	48	10	74	7	4	65
1316	152	297	186	198	23	214	187	218
1317	7	306	18	2	5	28	2	2
1318	11	3	4	25	25	31	18	20
1319	5	209	4	142	26	7	236	2
1320	7	33	18	2	5	28	239	2
1321	8	2	7	3	7	1	4	277
1322	8	2	7	3	259	1	4	2
1323	8	2	7	3	259	1	4	282
1324	8	28	7	3	259	1	4	2
1325	8	239	7	3	7	1	238	2
1326	10	2	3	3	259	1	4	2
1327	10	2	7	3	7	271	4	2
1328	10	2	7	3	260	1	4	2
1329	10	2	7	3	263	1	4	2
1330	10	2	7	101	7	1	237	2
1331	10	2	66	3	261	1	4	279
1332	10	2	240	18	7	57	4	101
1333	10	3	4	254	41	274	4	78
1334	10	28	4	3	18	1	235	2
1335	10	148	3	3	18	272	4	23
1336	10	148	3	3	259	1	4	2
1337	10	148	4	17	7	1	4	280
1338	10	407	4	83	41	1	4	2
1339	10	409	7	18	18	1	4	102
1340	10	410	7	3	262	1	4	2
1341	10	411	3	3	7	1	4	2
1342	10	412	3	3	7	1	240	2
1343	10	415	3	255	16	1	4	283
1344	10	416	242	256	16	1	237	284
1345	11	2	7	3	18	275	4	2
1346	11	413	7	3	259	1	241	23
1347	24	2	4	26	259	1	4	2
1348	24	31	4	26	259	29	2	2
1349	24	31	4	52	264	29	2	2
1350	60	2	241	10	259	57	4	2
1351	67	124	86	30	267	102	1	6
1352	173	414	39	210	265	273	103	281
1353	209	408	7	17	259	1	4	23
1354	210	2	3	3	7	1	4	2
1355	211	148	7	100	18	1	242	2
1356	212	2	3	17	18	1	4	22
1357	213	28	4	3	266	1	4	23
1358	214	2	4	3	7	1	4	252
1359	215	2	7	3	259	1	4	23
1360	216	2	226	100	259	1	4	259
1361	5	406	4	10	16	8	2	2
1362	6	6	4	253	154	7	2	4
1363	8	405	7	3	7	1	4	2
1364	10	2	7	3	7	1	234	2
1365	154	42	38	39	78	37	29	278
1366	208	41	110	53	258	270	233	164
1367	8	2	7	3	7	1	246	2
1368	10	2	3	17	269	1	4	22
1369	10	2	3	258	18	1	4	22
1370	10	2	7	3	7	276	243	2
1371	10	2	7	3	18	1	4	2
1372	10	2	7	3	259	1	4	2
1373	10	417	3	257	259	1	4	2
1374	10	417	3	257	259	1	244	2
1375	24	31	4	26	268	29	2	2
1376	24	31	4	26	268	29	245	2
1377	82	37	48	10	194	1	4	203
1378	106	310	243	45	33	277	115	204
1379	217	3	4	254	41	274	4	78
1380	218	39	99	93	270	100	105	285
1381	24	418	4	26	16	29	2	2
1382	5	47	66	56	6	7	2	203
1383	18	419	52	98	11	278	247	286
1384	2	77	72	31	2	20	1	73
1385	9	1	15	2	4	9	6	9
1386	8	2	7	5	7	1	4	2
1387	3	1	5	11	8	3	5	3
1388	84	37	3	12	74	7	4	183
1389	8	2	7	3	243	1	4	2
1390	31	195	11	259	27	34	248	43
1391	13	39	11	16	271	25	8	19
1392	9	1	15	7	4	9	249	9
1393	66	420	11	35	225	67	26	43
1394	11	196	148	17	18	279	4	2
1395	64	252	129	21	175	12	250	11
1396	118	236	16	30	4	163	251	27
1397	207	2	4	3	18	1	4	2
1398	8	262	7	3	7	1	4	253
1399	20	362	21	22	19	27	19	17
1400	10	2	3	17	18	1	4	5
1401	1	1	2	1	1	2	257	1
1402	1	1	2	1	1	2	259	1
1403	1	1	2	1	1	2	260	1
1404	1	1	2	260	1	2	3	1
1405	1	1	244	1	1	2	3	1
1406	1	7	1	9	2	20	1	297
1407	1	7	1	9	2	20	216	6
1408	1	23	55	4	181	183	102	56
1409	1	74	54	15	2	262	10	1
1410	2	4	6	4	1	6	1	295
1411	2	15	72	31	2	20	216	73
1412	2	21	1	8	223	244	216	237
1413	2	26	9	8	2	10	1	7
1414	2	134	6	4	1	6	1	1
1415	4	77	10	5	2	4	1	289
1416	4	427	1	1	31	148	1	130
1417	5	65	3	10	16	8	2	30
1418	5	65	3	10	16	285	2	30
1419	7	37	3	10	26	7	4	2
1420	8	421	7	3	7	1	4	2
1421	9	1	15	7	4	9	6	287
1422	9	1	15	265	4	9	6	9
1423	9	1	246	7	4	9	6	9
1424	9	134	74	134	4	286	1	9
1425	9	425	74	134	4	72	1	9
1426	10	2	3	3	7	280	4	2
1427	10	2	3	3	18	281	4	23
1428	10	2	7	3	7	1	4	293
1429	10	2	7	3	60	1	4	92
1430	10	2	7	3	273	1	4	291
1431	10	2	247	3	7	1	4	288
1432	10	28	3	18	18	26	4	2
1433	11	3	248	3	15	1	4	16
1434	11	196	148	2	18	164	4	147
1435	11	282	4	52	277	31	18	20
1436	12	40	24	19	13	287	8	29
1437	14	25	14	29	2	4	1	15
1438	16	1	74	134	274	180	6	9
1439	16	134	174	112	2	9	170	75
1440	17	12	26	13	11	13	254	3
1441	17	357	101	94	8	103	107	3
1442	23	424	17	135	9	11	7	13
1443	24	3	3	26	16	108	252	2
1444	25	432	3	10	26	53	4	65
1445	26	10	90	264	30	16	12	11
1446	26	434	90	264	30	16	12	11
1447	32	37	48	10	74	57	4	65
1448	32	47	4	10	71	7	4	5
1449	32	123	48	68	78	8	2	298
1450	50	47	4	10	5	8	2	30
1451	50	65	48	10	78	8	2	290
1452	55	20	2	4	47	2	253	8
1453	58	199	110	263	275	31	112	2
1454	63	26	2	28	1	284	1	8
1455	63	26	245	28	1	18	1	8
1456	64	423	129	21	175	12	138	11
1457	64	428	129	21	175	12	138	11
1458	64	429	129	21	175	12	138	11
1459	83	28	110	52	18	1	256	40
1460	87	47	48	10	16	7	4	65
1461	96	395	117	261	272	125	122	116
1462	102	401	73	82	127	18	46	1
1463	118	161	16	30	4	163	1	27
1464	154	340	41	54	218	59	20	164
1465	158	309	3	206	71	7	4	21
1466	219	422	37	9	2	2	3	128
1467	220	17	102	76	252	72	173	95
1468	221	3	48	10	26	57	4	90
1469	222	1	15	7	4	9	6	9
1470	223	426	4	53	258	282	233	292
1471	224	430	40	262	30	283	255	294
1472	225	431	121	96	30	12	126	121
1473	226	13	74	183	2	180	6	75
1474	226	435	74	183	2	180	6	75
1475	227	433	249	266	276	12	258	296
1476	228	4	6	4	1	6	1	1
1477	229	3	3	10	16	8	2	2
1478	230	4	6	4	1	6	1	1
1479	64	252	129	21	175	12	261	11
1480	10	436	4	83	41	1	4	2
1481	8	262	7	3	7	1	4	299
1482	8	2	7	3	7	1	4	300
1483	9	437	15	7	4	9	6	9
1484	4	24	10	5	2	4	264	6
1485	6	438	4	2	6	7	2	301
1486	8	2	7	268	7	1	4	2
1487	9	1	15	7	4	9	6	304
1488	9	1	15	7	4	9	262	9
1489	9	1	15	267	4	9	6	9
1490	9	134	15	134	4	72	1	9
1491	9	134	74	134	4	288	1	9
1492	10	28	7	18	18	1	4	302
1493	14	136	14	29	2	4	1	15
1494	14	439	14	29	2	4	1	15
1495	17	9	28	12	9	289	9	11
1496	23	9	8	12	9	11	7	303
1497	23	9	17	135	9	11	263	13
1498	32	441	3	10	78	7	4	2
1499	87	442	4	10	78	29	2	5
1500	102	18	97	82	2	290	1	93
1501	231	440	3	257	18	1	4	2
1502	190	29	7	3	7	253	4	245
1503	1	7	1	9	278	20	1	6
1504	5	47	4	10	26	1	4	305
1505	1	1	2	1	279	2	3	1
1506	232	8	112	11	8	103	265	32
1507	1	7	250	9	20	20	1	6
1508	88	24	127	76	4	72	1	9
1509	23	443	17	135	9	11	7	13
1510	1	444	2	1	1	2	3	1
1511	14	136	14	82	2	4	1	15
1512	5	205	4	10	5	8	2	90
1513	1	1	104	1	1	2	3	1
1514	185	312	195	13	8	12	9	3
1515	7	32	18	2	5	8	266	2
1516	233	148	3	3	7	1	4	2
1517	234	44	101	20	280	291	44	306
1518	10	87	110	3	16	1	4	2
1519	28	9	32	20	14	33	11	11
1520	10	2	3	3	7	1	4	307
