ST	ace	gltB	gmhD	lepA	lipA	narK	ndh
887	1	1	3	22	3	22	1
888	10	4	14	2	15	12	1
889	13	1	3	4	1	27	1
890	1	2	3	4	3	21	1
891	1	2	13	4	3	19	1
892	1	1	47	2	1	12	1
893	1	2	44	2	1	8	1
894	1	2	3	4	20	22	11
895	1	2	3	14	1	8	1
896	1	2	3	2	16	2	1
897	8	2	3	4	20	12	1
898	1	1	2	3	5	1	1
899	12	4	3	19	15	22	1
900	1	2	3	4	6	61	1
901	1	6	3	2	6	27	11
902	8	6	3	12	15	12	1
903	1	39	3	28	1	2	11
904	4	47	13	2	20	33	1
905	8	1	13	44	1	2	1
906	1	4	13	1	8	22	6
907	1	2	54	2	48	33	1
908	10	48	13	2	5	6	1
909	4	1	3	1	1	22	1
910	1	2	4	2	1	4	1
911	1	1	2	1	1	4	3
912	1	1	6	2	1	1	1
913	1	1	3	4	1	3	1
914	4	2	2	1	1	1	1
915	4	2	28	3	1	4	1
916	1	4	3	1	1	1	1
917	1	1	28	1	1	4	1
918	4	1	28	3	1	4	1
919	3	4	2	1	1	29	1
920	1	4	2	2	6	16	1
921	1	4	2	1	6	4	1
922	3	4	2	4	1	4	6
923	1	4	12	1	1	1	1
924	1	26	6	1	5	22	1
925	1	1	28	1	1	3	1
926	1	1	12	2	1	3	3
927	4	1	55	3	1	4	1
928	1	4	3	1	1	62	1
929	4	4	3	1	1	22	1
930	1	1	3	2	5	1	1
931	3	1	3	4	5	2	1
932	1	1	3	3	6	2	1
933	1	4	12	2	1	3	1
934	1	4	6	3	1	2	1
935	1	1	3	1	5	4	1
936	1	4	28	3	47	1	1
937	3	1	3	3	1	3	1
938	1	4	37	4	1	2	1
939	3	1	3	4	5	29	1
940	4	4	55	2	1	4	1
941	1	4	3	2	6	4	1
942	1	1	6	2	1	63	1
943	1	1	28	3	6	1	1
945	4	1	3	3	1	42	3
946	1	1	28	2	5	3	1
947	1	4	2	2	5	4	1
948	1	1	2	2	5	29	1
949	1	2	11	1	1	2	1
950	1	1	4	1	6	3	1
951	1	1	2	1	1	1	1
952	1	4	11	3	5	2	1
953	1	4	3	2	8	8	1
954	1	6	47	4	18	2	1
955	8	6	13	2	3	6	11
956	1	2	13	2	1	45	11
957	8	2	3	2	6	9	1
958	1	2	14	22	1	8	1
959	1	12	3	22	1	38	4
960	1	2	3	2	1	1	3
961	1	2	4	1	6	3	1
962	33	54	58	45	49	65	42
963	24	52	45	37	50	66	35
964	24	53	45	37	50	67	35
965	1	2	14	25	15	8	1
966	8	15	23	4	6	12	11
967	1	2	3	2	15	12	1
968	1	7	3	21	29	6	13
969	1	4	13	18	32	35	1
970	1	7	26	4	1	22	13
971	1	55	3	4	1	19	1
972	1	1	13	4	1	6	1
973	1	15	3	4	1	2	1
974	34	2	3	4	8	35	1
975	1	4	3	47	1	12	1
976	1	2	13	2	1	33	43
977	4	2	3	2	15	8	11
978	1	2	13	4	2	6	2
979	12	2	3	1	1	19	1
980	4	2	13	2	1	12	1
981	1	2	13	2	51	9	1
982	1	1	3	4	8	8	27
983	1	7	26	4	1	6	13
984	22	4	14	4	1	6	1
985	1	2	20	2	1	9	1
986	22	4	14	2	1	12	1
987	1	2	6	4	15	19	1
988	1	2	20	2	1	9	11
989	1	4	3	46	1	6	1
990	1	3	3	2	6	27	11
991	1	2	3	2	1	22	15
992	1	2	6	4	15	27	1
993	12	16	44	2	15	21	1
994	1	15	3	2	5	6	1
995	1	6	59	1	1	21	1
996	8	4	22	1	6	22	44
997	4	1	13	1	8	60	1
998	1	15	3	14	1	8	11
999	2	50	13	2	2	2	1
1000	1	2	6	4	20	2	1
1001	4	2	6	1	1	29	1
1002	31	51	56	48	52	64	40
1003	32	51	57	48	52	64	41
1004	1	1	2	1	6	4	1
1005	3	1	4	1	6	4	1
1006	1	1	12	1	1	3	1
1007	3	1	2	1	6	4	1
1008	1	3	3	1	5	1	1
1009	1	1	37	3	1	1	1
1010	1	1	6	1	1	1	1
1011	4	4	3	2	1	4	1
1012	1	4	3	2	53	2	3
1013	35	56	61	49	54	68	37
1014	36	57	62	50	55	69	37
1015	24	52	45	37	50	70	35
1016	1	4	3	2	15	2	6
1017	9	23	44	4	1	2	1
1018	1	32	3	2	18	8	1
1019	4	23	13	51	17	2	1
1020	1	2	13	22	18	38	13
1021	1	58	14	4	1	71	1
1022	1	7	6	14	1	22	1
1023	16	59	63	52	56	72	45
1024	4	2	3	28	15	12	32
1025	8	2	23	4	1	22	1
1026	1	4	3	2	15	2	11
1027	37	24	13	2	1	22	1
1028	1	2	6	4	15	2	1
1029	1	2	22	1	6	6	13
1030	1	7	13	31	15	6	1
1031	1	15	13	2	6	33	1
1032	1	1	13	43	15	6	13
1033	1	2	13	4	1	12	1
1034	4	60	3	2	1	1	3
1035	38	61	64	54	57	73	37
1036	39	62	65	55	58	68	37
1037	40	63	66	49	59	74	37
1038	1	1	2	56	5	1	1
1039	41	64	67	57	60	6	46
1040	4	15	3	1	2	6	1
1041	8	2	13	4	1	6	11
1042	1	2	3	2	1	21	1
1043	4	1	3	2	5	2	1
1044	4	23	13	4	17	2	1
1045	3	3	3	2	1	29	1
1046	1	2	13	4	1	6	11
1047	42	32	3	28	6	9	1
1048	1	1	22	2	18	12	1
1049	13	22	13	58	1	6	11
1050	1	2	14	4	1	71	1
1051	1	12	6	1	1	2	1
1052	24	53	45	53	61	67	47
1053	4	12	3	2	5	2	1
1054	4	12	34	1	5	2	1
1055	1	3	13	2	1	33	1
1056	8	2	13	2	3	38	1
1057	3	1	3	3	1	2	3
1058	40	65	68	59	62	68	37
1059	40	70	71	61	66	68	50
1060	40	71	68	64	67	77	48
1061	40	72	66	61	68	68	37
1062	46	73	72	49	67	68	37
1063	47	74	66	61	69	78	51
1064	40	67	70	61	64	68	37
1065	40	67	73	49	70	69	37
1066	40	75	66	65	71	79	37
1067	40	76	66	49	72	68	48
1068	40	77	74	61	73	77	37
1069	44	66	69	60	63	76	49
1070	1	2	14	4	1	22	1
1071	40	69	75	61	74	77	37
1072	40	78	66	61	75	68	37
1073	40	61	62	50	76	68	37
1074	8	28	3	18	1	6	6
1075	1	4	14	4	26	22	27
1076	48	61	73	61	77	68	37
1077	49	79	76	61	78	80	37
1078	48	80	77	61	73	68	37
1079	43	61	61	50	54	75	48
1080	43	61	62	50	71	68	52
1081	50	81	78	66	76	68	53
1082	45	68	64	62	65	77	37
1083	41	64	67	57	60	68	46
1084	51	82	79	57	79	68	54
1085	52	64	80	67	80	68	54
1086	48	83	62	55	81	81	55
1087	53	64	81	57	82	68	54
1088	51	84	79	67	82	68	54
1089	1	3	2	1	1	2	1
1090	3	2	3	4	1	1	1
1091	3	4	2	1	1	4	3
1092	1	3	6	1	1	2	1
1093	4	4	3	3	5	1	3
1094	1	2	28	3	1	9	3
1095	1	12	3	2	1	2	3
1096	3	4	28	1	1	3	1
1097	1	1	11	3	1	4	1
1098	1	4	2	1	5	1	3
1099	1	12	3	2	1	2	1
1100	3	1	13	1	1	4	3
1101	1	4	11	1	1	22	1
1102	1	12	2	2	5	29	1
1103	3	1	3	1	1	3	1
1104	3	1	36	3	5	2	3
1105	1	4	2	3	5	4	1
1106	1	2	28	3	8	4	3
1107	1	4	3	1	1	22	1
1108	3	1	2	68	1	4	3
1109	1	2	2	1	1	4	1
1110	1	12	3	2	1	22	3
1111	3	4	11	4	1	4	1
1112	1	85	3	2	5	27	11
1113	4	26	6	1	5	1	1
1114	1	12	3	2	3	22	3
1115	1	2	6	1	1	29	1
1116	1	2	6	1	1	8	1
1117	18	4	6	2	1	1	3
1118	54	12	6	4	1	42	3
1119	1	7	3	31	1	12	56
1120	40	86	72	61	83	82	37
1121	1	18	13	2	5	6	1
1122	1	1	19	2	5	2	1
1123	1	2	3	2	15	22	1
1124	1	7	3	7	1	12	11
1125	10	22	14	4	1	3	1
1126	6	5	9	5	7	7	5
1127	1	1	10	2	5	2	39
1128	1	1	10	2	5	1	39
1129	8	4	24	2	1	12	11
1130	3	1	2	69	1	3	3
1131	3	1	2	4	1	4	6
