ST	adk	fumC	gyrB	icd	mdh	recA
997	155	370	166	151	123	138
998	299	191	300	169	262	145
999	4	394	280	231	133	127
1000	116	240	281	140	144	124
1001	4	279	356	288	210	372
1002	288	415	163	162	148	363
1003	4	497	148	169	215	302
1004	307	621	255	491	406	423
1005	3	545	198	407	2	1
1006	52	163	56	202	341	282
1007	3	194	434	3	2	340
1008	129	622	160	494	184	134
1009	115	568	222	153	186	194
1010	93	128	108	111	106	96
1011	129	168	172	189	392	134
1012	3	265	7	3	127	297
1013	4	601	148	144	379	279
1014	171	430	163	464	399	229
1015	131	187	136	165	130	147
1016	4	172	135	403	323	121
1017	112	556	179	436	390	387
1018	131	458	176	146	131	144
1019	127	474	134	142	156	103
1020	202	265	184	3	5	383
1021	133	571	356	234	210	281
1022	112	160	175	193	151	388
1023	294	172	368	250	368	358
1024	118	169	134	392	177	126
1025	3	303	1	442	2	1
1026	129	167	136	420	331	161
1027	1	4	1	297	3	206
1028	3	545	2	3	2	1
1029	118	469	155	200	177	126
1030	112	560	175	436	314	387
1031	4	477	154	169	133	215
1032	129	203	239	168	298	182
1033	232	605	321	432	270	175
1034	3	414	3	3	3	212
1035	112	299	134	142	165	103
1036	4	172	154	136	414	349
1037	129	171	132	344	131	410
1038	196	169	134	203	278	126
1039	2	251	4	324	2	6
1040	278	572	136	188	144	150
1041	4	407	163	175	133	374
1042	131	383	256	155	131	399
1043	155	370	179	151	123	138
1044	135	567	132	140	130	124
1045	4	412	129	276	125	121
1046	316	625	166	151	225	429
1047	95	624	107	111	106	96
1048	4	117	108	108	385	96
1049	118	469	155	496	177	126
1050	4	207	135	497	374	179
1051	152	605	285	394	236	305
1052	93	149	108	100	415	98
1053	218	439	354	295	245	339
1054	4	172	154	169	381	174
1055	290	422	13	369	30	32
1056	155	180	179	135	123	120
1057	4	172	163	231	215	382
1058	212	463	313	425	263	295
1059	314	126	102	119	416	97
1060	4	598	163	338	148	189
1061	152	506	403	201	391	267
1062	4	172	163	318	133	279
1063	127	505	155	142	121	103
1064	249	534	285	483	176	175
1065	228	360	334	376	171	228
1066	206	446	222	152	131	240
1067	95	128	108	265	103	103
1068	118	298	134	142	157	343
1069	315	172	287	498	133	145
1070	4	424	135	144	133	127
1071	4	391	135	221	133	302
1072	206	446	222	358	131	240
1073	2	335	344	1	3	1
1074	121	171	136	341	130	124
1075	294	172	163	169	368	358
1076	294	496	135	180	215	358
1077	3	393	191	3	139	283
1078	129	629	166	298	154	164
1079	133	279	185	308	210	252
1080	266	632	290	506	423	34
1081	266	633	297	507	425	34
1082	209	172	135	470	268	189
1083	318	218	223	508	188	137
1084	121	171	132	341	134	124
1085	93	392	361	340	117	249
1086	266	515	252	371	253	34
1087	118	298	316	200	159	225
1088	132	291	262	202	182	60
1089	115	203	132	157	134	400
1090	3	301	184	1	2	1
1091	3	305	7	3	426	1
1092	93	491	108	112	108	432
1093	155	634	166	151	123	138
1094	246	593	257	465	338	314
1095	219	381	431	456	27	405
1096	95	117	108	269	205	101
1097	4	191	148	317	262	145
1098	293	513	335	232	324	301
1099	4	164	153	320	161	121
1100	235	215	134	142	159	126
1101	25	17	331	13	14	278
1102	25	17	371	13	16	23
1103	23	376	23	450	400	13
1104	16	386	23	13	14	419
1105	246	390	326	377	338	384
1106	294	172	282	250	368	358
1107	3	335	7	3	216	148
1108	155	370	166	151	123	180
1109	45	357	42	47	258	408
1110	4	172	198	169	133	349
1111	142	635	133	509	131	128
1112	152	534	321	479	308	175
1113	115	244	133	208	146	197
1114	155	636	330	151	123	122
1115	278	637	136	306	145	240
1116	285	179	373	433	138	292
1117	118	298	134	203	165	126
1118	152	569	285	466	308	175
1119	213	400	299	169	293	361
1120	95	144	102	103	106	96
1121	4	172	135	329	148	121
1122	95	328	105	110	107	259
1123	131	197	150	172	249	144
1124	93	559	101	116	102	96
1125	1	359	184	3	3	206
1126	93	120	101	437	106	96
1127	152	638	305	485	236	175
1128	152	605	321	262	236	305
1129	152	605	285	262	391	175
1130	232	464	285	424	176	175
1131	93	142	266	510	107	433
1132	93	590	105	309	246	306
1133	4	204	253	136	163	121
1134	95	122	104	104	103	243
1135	152	534	321	387	248	175
1136	213	400	301	231	389	361
1137	152	639	163	479	176	305
1138	112	520	134	223	156	103
1139	265	491	102	104	108	103
1140	95	117	107	474	106	96
1141	1	425	4	278	200	4
1142	113	267	317	315	351	321
1143	232	605	285	480	357	175
1144	95	371	108	100	110	97
1145	127	160	336	380	156	103
1146	95	117	101	431	106	96
1147	132	471	55	134	123	59
1148	95	328	105	110	107	97
1149	140	520	134	190	151	103
1150	152	366	369	337	176	175
1151	93	358	396	285	283	320
1152	229	120	101	109	106	97
1153	95	117	105	431	106	100
1154	93	518	108	103	103	98
1155	180	360	210	359	171	228
1156	239	259	163	228	148	156
1157	3	335	7	3	216	212
1160	51	600	330	330	123	138
1161	123	444	296	322	171	224
1164	4	128	101	445	114	97
1165	127	505	134	380	156	103
1168	3	2	3	3	238	398
1169	282	547	336	380	156	103
1170	152	594	391	113	308	175
1171	118	298	134	200	285	126
1172	156	519	145	320	300	183
1173	1	4	3	412	297	4
1174	123	536	347	196	171	133
1175	4	172	135	225	133	302
1176	51	226	166	330	123	300
1178	152	605	403	113	248	175
1179	93	590	105	285	246	306
1180	127	160	215	142	328	103
1181	220	267	358	447	122	380
1183	4	172	163	464	399	229
1185	93	420	105	401	246	306
1189	127	564	134	142	363	103
1190	3	574	3	1	2	206
1191	282	160	134	287	156	103
1194	93	590	363	293	299	306
1195	4	509	102	316	337	96
1196	152	534	163	262	308	175
1197	113	267	379	444	122	380
1198	127	248	352	391	156	103
1199	95	117	105	109	102	96
1201	4	117	105	434	106	96
1202	95	117	108	108	385	97
1203	127	160	173	380	156	103
1206	152	506	321	334	308	175
1211	4	598	135	169	133	127
1212	35	462	39	38	37	38
1213	270	49	44	321	46	413
1214	112	372	399	142	156	103
1215	132	455	376	60	60	369
1216	131	290	136	471	131	150
1217	127	248	134	380	157	103
1218	222	360	209	438	242	221
1219	112	443	155	469	121	387
1221	127	248	179	380	156	103
1222	35	517	41	52	359	41
1231	267	575	55	202	182	138
1232	3	8	353	360	127	329
1233	261	298	134	203	157	343
1243	115	177	136	167	144	334
1244	267	468	56	62	61	138
1245	112	443	134	328	121	103
1246	193	498	55	134	188	160
1247	112	469	134	362	157	126
1248	118	298	134	142	214	387
1249	142	493	133	145	131	128
1250	118	215	134	296	366	344
1251	243	329	338	421	309	350
1252	51	226	166	134	266	138
1253	35	462	39	51	40	41
1255	291	478	416	326	317	76
1256	132	377	54	60	138	326
1257	132	436	223	296	188	203
1259	227	291	55	237	138	160
1262	214	401	42	46	191	289
1263	295	49	41	42	354	46
1264	118	295	134	296	288	126
1265	200	160	414	142	121	103
1266	231	382	427	310	275	82
1267	152	506	163	479	391	348
1268	118	543	155	142	157	126
1269	140	299	125	380	121	387
1270	84	453	309	92	361	91
1275	152	233	285	394	176	175
1276	118	543	134	142	280	387
1280	155	370	166	311	123	202
1281	155	370	166	151	123	202
1282	4	164	253	384	125	121
1288	112	243	179	404	123	138
1289	112	160	215	223	165	414
1290	112	243	273	151	371	282
1291	305	160	134	174	165	387
1292	244	163	390	330	316	138
1293	51	526	166	151	188	138
1294	136	507	158	173	150	155
1296	129	171	133	331	130	144
1297	250	160	173	328	165	117
1298	3	1	420	407	2	4
1299	236	1	294	352	2	4
1302	303	160	155	179	157	103
1303	95	122	108	112	108	105
1304	198	204	181	136	272	333
1305	52	163	343	62	123	61
1306	261	160	215	223	339	117
1309	112	537	155	415	151	376
1311	131	374	136	155	131	367
1312	273	520	155	223	151	387
1315	4	164	138	148	125	347
1316	4	476	153	136	125	131
1318	4	164	412	136	125	131
1320	93	134	113	104	103	277
1324	132	455	262	60	261	369
1325	33	577	42	47	42	41
1327	146	544	179	161	131	195
1328	51	179	55	60	182	292
1329	118	344	182	435	157	126
1330	46	67	51	429	57	54
1331	142	501	136	161	131	266
1332	302	173	132	367	141	400
1333	302	433	133	145	131	128
1334	142	544	133	145	131	128
1335	115	465	136	356	131	395
1336	142	173	133	145	131	318
1337	115	493	133	290	131	394
1338	11	467	19	14	330	17
1339	264	160	341	391	165	103
1340	113	409	310	133	394	321
1341	51	72	55	60	138	369
1342	1	4	184	245	2	251
1343	129	171	136	146	395	147
1344	95	122	108	238	107	337
1345	40	49	41	42	244	46
1347	41	53	41	414	56	386
1349	123	321	230	376	365	224
1350	120	177	136	167	144	240
1352	115	171	132	372	131	144
1355	112	452	283	301	151	103
1361	4	596	198	169	148	217
1363	112	160	215	223	165	387
1365	35	512	41	350	56	304
1366	263	171	136	146	134	129
1367	112	160	392	193	390	103
1369	276	49	42	365	254	49
1371	112	432	173	223	121	415
1372	4	378	135	250	148	227
1374	132	408	262	202	182	60
1379	115	193	132	372	131	144
1386	132	291	419	202	138	60
1388	4	511	148	381	211	365
1389	93	130	108	194	103	308
1390	147	487	133	155	367	165
1398	135	361	132	477	131	144
1399	3	301	191	3	3	283
1402	1	7	3	302	236	233
1406	174	315	225	256	398	220
1409	4	496	135	231	133	121
1410	148	544	136	325	377	134
1412	240	159	108	474	102	111
1413	193	398	54	202	138	59
1414	93	417	108	443	103	98
1415	3	6	5	3	329	6
1416	95	603	236	112	108	97
1417	241	370	385	151	123	202
1419	165	310	136	241	231	315
1422	174	315	179	255	131	220
1424	152	594	179	201	176	175
1425	118	565	155	142	175	343
1426	129	168	187	463	141	134
1428	3	305	1	3	344	206
1430	95	117	101	402	108	111
1432	3	4	4	1	287	328
1434	93	126	108	121	312	103
1435	4	284	179	230	148	215
1436	250	502	134	174	121	103
1437	95	461	108	112	326	96
1438	230	394	148	452	133	121
1439	93	523	105	431	106	96
1440	51	546	127	134	123	119
1441	147	244	235	409	141	265
1443	3	301	184	3	139	327
1444	146	188	179	140	144	193
1445	51	582	54	419	60	60
1446	129	355	169	178	131	140
1447	131	487	133	155	367	165
1448	298	344	244	296	393	343
1449	259	167	136	420	251	161
1450	129	499	136	187	286	351
1451	123	444	210	446	265	221
1452	205	4	7	3	3	1
1456	196	169	134	203	334	126
1457	129	182	136	471	141	134
1458	262	219	194	428	239	265
1459	118	295	134	449	183	126
1461	131	413	235	306	131	240
1462	47	49	42	365	349	49
1463	129	190	136	146	382	144
1467	112	160	273	436	390	323
1468	131	354	219	216	141	240
1469	196	215	155	142	149	343
1475	112	387	303	436	390	341
1479	116	553	136	172	141	124
1480	129	198	179	166	147	146
1483	304	49	195	43	45	46
1484	35	364	41	57	264	362
1486	115	586	339	294	257	150
1487	115	579	136	157	131	144
1488	129	171	132	355	131	240
1490	127	556	259	436	169	103
1491	221	556	392	436	390	357
1493	129	171	179	256	130	134
1494	41	49	398	43	45	46
1497	100	277	136	388	358	345
1498	221	556	359	142	169	388
1499	216	160	215	142	165	103
1500	33	516	42	448	313	46
1502	11	418	270	314	18	18
1505	115	187	179	155	392	134
1506	55	75	59	64	342	342
1507	303	160	215	179	335	103
1509	112	524	308	203	157	126
1512	4	430	135	364	399	229
1513	95	126	108	194	108	414
1514	248	117	101	100	102	101
1516	129	587	136	146	131	124
1517	112	243	272	151	123	138
1519	267	254	166	134	123	336
1523	100	173	136	388	247	345
1524	156	223	145	467	136	183
1525	4	273	327	207	207	199
1527	4	201	292	136	336	145
1529	128	454	166	151	123	202
1530	289	389	277	291	304	377
1531	168	163	179	62	360	138
1532	274	105	86	89	276	85
1533	86	114	90	406	92	89
1535	93	134	113	115	108	277
1537	204	410	425	393	79	359
1538	203	606	275	363	346	417
1542	93	549	101	103	106	96
1543	4	164	153	181	272	121
1545	4	424	135	144	133	260
1548	207	440	420	248	216	6
1549	131	369	150	141	131	144
1551	93	368	107	111	106	96
1552	116	240	136	160	340	124
1553	3	574	198	407	2	1
1554	37	411	41	429	244	41
1555	132	538	223	202	188	137
1556	3	1	2	3	2	1
1557	129	177	166	298	154	164
1558	37	51	44	56	43	413
1559	51	442	166	134	123	336
1560	4	172	163	230	327	227
1561	4	191	148	232	148	382
1562	11	434	21	422	25	298
1563	214	475	50	286	294	256
1568	112	556	175	436	352	341
1573	220	267	317	383	122	346
1574	226	162	166	404	360	122
1575	3	4	344	1	269	6
1576	254	597	342	430	362	280
1579	123	270	400	322	171	353
1581	51	291	55	202	319	59
1582	215	99	320	357	83	356
1583	4	394	214	231	148	217
1584	118	591	134	296	149	225
1586	93	514	122	340	117	253
1587	105	117	105	474	106	111
1588	93	120	101	111	401	96
1589	129	402	136	396	144	134
1590	95	126	179	110	107	102
1591	95	550	108	106	108	288
1592	1	265	184	3	2	258
1594	95	406	108	254	205	101
1596	129	552	136	153	141	172
1597	93	495	108	254	403	389
1598	51	73	56	346	388	392
1599	123	482	210	233	242	228
1600	93	602	382	128	117	253
1601	4	430	135	464	399	229
1605	93	417	113	334	106	96
1607	112	387	179	142	165	387
1608	275	533	233	292	129	97
1611	283	530	381	335	123	385
1612	201	527	378	363	350	418
1613	4	284	135	169	152	397
1614	95	540	108	442	106	242
1621	35	49	39	429	191	46
1624	282	160	134	380	156	103
1625	93	132	101	445	267	97
1628	95	120	101	109	106	97
1629	190	423	389	202	384	262
1630	252	392	382	131	119	253
1631	51	575	166	366	138	122
1633	132	408	55	60	123	142
1636	258	471	166	215	123	122
1643	95	588	102	129	101	96
1649	131	428	136	146	131	124
1650	234	457	349	451	27	21
1651	195	604	258	323	27	11
1653	234	15	29	456	277	21
1655	7	396	349	451	27	21
1656	210	585	302	405	383	296
1657	70	388	279	405	355	84
1658	95	122	104	104	103	416
1659	229	120	101	111	375	96
1660	93	144	101	103	114	96
1661	193	377	54	202	138	60
1662	52	163	128	199	360	173
1664	4	551	153	136	230	121
1665	186	126	102	112	396	287
1666	129	363	235	347	259	172
1669	192	544	136	348	131	130
1670	35	500	39	51	292	45
1671	95	117	108	108	385	96
1672	241	308	262	60	138	271
1673	242	542	268	416	307	359
1675	93	504	435	291	243	377
1676	299	191	148	395	152	270
1677	305	160	173	142	157	103
1678	279	295	134	142	159	344
1679	74	535	436	476	83	78
1680	237	503	416	284	372	359
1681	118	169	134	142	132	388
1682	95	146	304	475	101	96
1683	95	146	304	454	101	96
1686	253	578	315	462	322	366
1687	284	112	260	389	91	88
1688	211	480	370	300	322	371
1690	21	584	364	456	277	375
1691	233	11	8	6	7	8
1692	38	395	39	57	364	41
1695	93	450	291	265	103	287
1698	93	156	122	340	117	407
1700	257	589	386	305	380	420
1701	30	380	293	34	369	254
1702	187	437	325	34	315	307
1704	5	11	8	6	303	7
1705	43	541	413	460	318	332
1706	199	489	9	375	333	309
1707	185	580	418	398	10	325
1708	27	472	431	461	301	272
1709	25	17	16	459	14	13
1710	251	470	406	339	279	274
1711	5	456	8	289	7	316
1712	234	457	349	323	27	11
1713	5	558	284	6	7	7
1714	6	13	409	8	8	10
1715	197	563	80	379	348	356
1716	5	573	8	6	7	8
1718	35	529	46	397	42	413
1719	199	362	401	400	250	309
1720	301	421	166	202	123	137
1721	60	399	65	69	68	66
1722	132	291	337	478	182	59
1723	256	15	439	327	10	325
1724	300	581	406	303	279	274
1728	6	13	9	319	8	10
1730	234	396	349	451	27	21
1731	277	143	108	106	108	97
1732	74	99	80	83	252	356
1733	33	49	39	42	260	46
1734	112	160	283	301	151	103
1735	42	466	39	57	359	41
1736	69	93	74	78	78	355
1737	5	373	8	6	303	7
1738	189	379	406	333	305	285
1740	42	484	395	56	45	41
1741	268	375	9	349	250	309
1743	35	66	39	423	191	311
1744	131	342	136	473	144	150
1745	70	388	360	405	307	379
1746	199	362	9	400	333	309
1748	234	15	349	451	27	21
1751	194	489	387	453	386	247
1752	217	532	41	56	40	338
1753	30	41	34	304	310	33
1755	296	14	311	30	11	14
1757	11	429	270	14	29	20
1761	189	581	179	303	279	274
1762	77	382	298	386	387	312
1765	6	13	409	319	8	273
1767	234	15	374	283	27	28
1768	1	301	179	278	2	4
1771	189	581	179	339	279	274
1772	199	362	9	400	250	309
1773	6	13	9	472	274	411
1776	234	405	250	313	27	275
1777	36	53	397	55	290	46
1782	31	583	426	34	310	276
1784	35	401	41	321	45	248
1785	297	494	8	6	7	7
1786	118	202	155	455	159	154
1788	70	542	377	413	79	324
1790	291	522	333	441	370	409
1791	185	557	364	484	27	378
1800	41	53	41	55	244	46
1801	204	460	279	378	355	319
1806	245	457	276	481	10	364
1817	281	510	362	327	255	370
1820	123	385	278	226	171	201
1821	267	218	166	215	123	138
1823	4	172	163	169	133	390
1825	51	308	428	60	138	59
1829	21	15	295	456	27	299
1831	3	545	4	3	123	1
1832	280	525	105	299	282	352
